Ae (mm),Ap (mm),f (mm/min),N (rpm),R (mm),Z,fz,Vc,sim_file,phi_eng_deg,phi_out_deg,phi_in_deg,sigma_run_Nmm,snr_db
40,1.0,632.0,2108.0,20,2,0.14990512333965844,264.8990925506913,sim_000_ae40_ap1_N2108.0_fz0.1499.csv,180.0,180.0,0.0,0.19546760878309688,16.25653007279246
38,1.0,632.0,2108.0,20,2,0.14990512333965844,264.8990925506913,sim_001_ae38_ap1_N2108.0_fz0.1499.csv,154.15806723683286,180.0,25.841932763167126,0.21557069972629117,18.081726710936344
32,1.0,632.0,2108.0,20,2,0.14990512333965844,264.8990925506913,sim_002_ae32_ap1_N2108.0_fz0.1499.csv,126.86989764584403,180.0,53.13010235415596,0.20218892727155427,19.573770830220912
26,1.0,632.0,2108.0,20,2,0.14990512333965844,264.8990925506913,sim_003_ae26_ap1_N2108.0_fz0.1499.csv,107.4576031237221,180.0,72.5423968762779,0.18480080555465758,19.731759402534973
40,1.0,505.92,1686.4,20,2,0.15,211.91927404055312,sim_004_ae40_ap1_N1686.4_fz0.1500.csv,180.0,180.0,0.0,0.2007109684251211,16.255264266227346
38,1.0,505.92,1686.4,20,2,0.15,211.91927404055312,sim_005_ae38_ap1_N1686.4_fz0.1500.csv,154.15806723683286,180.0,25.841932763167126,0.1894822674301553,18.08349382538661
32,1.0,505.92,1686.4,20,2,0.15,211.91927404055312,sim_006_ae32_ap1_N1686.4_fz0.1500.csv,126.86989764584403,180.0,53.13010235415596,0.2195138626989267,19.578986715938715
26,1.0,505.92,1686.4,20,2,0.15,211.91927404055312,sim_007_ae26_ap1_N1686.4_fz0.1500.csv,107.4576031237221,180.0,72.5423968762779,0.1840082667142166,19.738157939076878
40,1.0,758.88,2529.6,20,2,0.15,317.8789110608296,sim_008_ae40_ap1_N2529.6_fz0.1500.csv,180.0,180.0,0.0,0.19399566465566775,16.258803279924294
38,1.0,758.88,2529.6,20,2,0.15,317.8789110608296,sim_009_ae38_ap1_N2529.6_fz0.1500.csv,154.15806723683286,180.0,25.841932763167126,0.21220524238957802,18.086316448094827
32,1.0,758.88,2529.6,20,2,0.15,317.8789110608296,sim_010_ae32_ap1_N2529.6_fz0.1500.csv,126.86989764584403,180.0,53.13010235415596,0.17486665457026554,19.57982870311798
26,1.0,758.88,2529.6,20,2,0.15,317.8789110608296,sim_011_ae26_ap1_N2529.6_fz0.1500.csv,107.4576031237221,180.0,72.5423968762779,0.19022223345226952,19.73621126680426
40,1.0,1054.0,2108.0,20,2,0.25,264.8990925506913,sim_012_ae40_ap1_N2108.0_fz0.2500.csv,180.0,180.0,0.0,0.19415769376258257,19.677232474742258
38,1.0,1054.0,2108.0,20,2,0.25,264.8990925506913,sim_013_ae38_ap1_N2108.0_fz0.2500.csv,154.15806723683286,180.0,25.841932763167126,0.21162075908684058,21.502429112886144
32,1.0,1054.0,2108.0,20,2,0.25,264.8990925506913,sim_014_ae32_ap1_N2108.0_fz0.2500.csv,126.86989764584403,180.0,53.13010235415596,0.19128025168122745,22.994473232170712
26,1.0,1054.0,2108.0,20,2,0.25,264.8990925506913,sim_015_ae26_ap1_N2108.0_fz0.2500.csv,107.4576031237221,180.0,72.5423968762779,0.17985169715623342,23.152461804484773
40,1.0,421.6,2108.0,20,2,0.1,264.8990925506913,sim_016_ae40_ap1_N2108.0_fz0.1000.csv,180.0,180.0,0.0,0.18414254623467533,13.54895634119288
38,1.0,421.6,2108.0,20,2,0.1,264.8990925506913,sim_017_ae38_ap1_N2108.0_fz0.1000.csv,154.15806723683286,180.0,25.841932763167126,0.21822157765888378,15.374152979336767
32,1.0,421.6,2108.0,20,2,0.1,264.8990925506913,sim_018_ae32_ap1_N2108.0_fz0.1000.csv,126.86989764584403,180.0,53.13010235415596,0.21414826545745597,16.86619709862133
26,1.0,421.6,2108.0,20,2,0.1,264.8990925506913,sim_019_ae26_ap1_N2108.0_fz0.1000.csv,107.4576031237221,180.0,72.5423968762779,0.18787756046995513,17.024185670935392
40,0.8,632.4,2108.0,20,2,0.15,264.8990925506913,sim_020_ae40_ap0.8_N2108.0_fz0.1500.csv,180.0,180.0,0.0,0.2229194938656348,14.322561470489244
38,0.8,632.4,2108.0,20,2,0.15,264.8990925506913,sim_021_ae38_ap0.8_N2108.0_fz0.1500.csv,154.15806723683286,180.0,25.841932763167126,0.2224091339379878,16.14775810863313
32,0.8,632.4,2108.0,20,2,0.15,264.8990925506913,sim_022_ae32_ap0.8_N2108.0_fz0.1500.csv,126.86989764584403,180.0,53.13010235415596,0.200470707212861,17.6398022279177
26,0.8,632.4,2108.0,20,2,0.15,264.8990925506913,sim_023_ae26_ap0.8_N2108.0_fz0.1500.csv,107.4576031237221,180.0,72.5423968762779,0.22678059960453265,17.797790800231756
40,1.2,632.4,2108.0,20,2,0.15,264.8990925506913,sim_024_ae40_ap1.2_N2108.0_fz0.1500.csv,180.0,180.0,0.0,0.19342136739737428,17.844386651602868
38,1.2,632.4,2108.0,20,2,0.15,264.8990925506913,sim_025_ae38_ap1.2_N2108.0_fz0.1500.csv,154.15806723683286,180.0,25.841932763167126,0.17213944120592528,19.66958328974675
32,1.2,632.4,2108.0,20,2,0.15,264.8990925506913,sim_026_ae32_ap1.2_N2108.0_fz0.1500.csv,126.86989764584403,180.0,53.13010235415596,0.18579506646874883,21.16162740903132
26,1.2,632.4,2108.0,20,2,0.15,264.8990925506913,sim_027_ae26_ap1.2_N2108.0_fz0.1500.csv,107.4576031237221,180.0,72.5423968762779,0.205388491973565,21.31961598134538
40,1.0,758.4,2108.0,20,2,0.17988614800759012,264.8990925506913,sim_028_ae40_ap1_N2108.0_fz0.1799.csv,180.0,180.0,0.0,0.20392653403509195,17.475921261925883
38,1.0,758.4,2108.0,20,2,0.17988614800759012,264.8990925506913,sim_029_ae38_ap1_N2108.0_fz0.1799.csv,154.15806723683286,180.0,25.841932763167126,0.18880466181940356,19.301117900069766
32,1.0,758.4,2108.0,20,2,0.17988614800759012,264.8990925506913,sim_030_ae32_ap1_N2108.0_fz0.1799.csv,126.86989764584403,180.0,53.13010235415596,0.16992958306442063,20.793162019354334
26,1.0,758.4,2108.0,20,2,0.17988614800759012,264.8990925506913,sim_031_ae26_ap1_N2108.0_fz0.1799.csv,107.4576031237221,180.0,72.5423968762779,0.18856153894200195,20.951150591668394
