n_layers,units,dropout,n_segments,val_loss,hidden
3,64,0.3,2,0.022082438692450523,"[64, 64, 64]"
2,64,0.15,2,0.02493913844227791,"[64, 64]"
2,64,0.05,2,0.02515557035803795,"[64, 64]"
3,128,0.15,2,0.02548369951546192,"[128, 128, 128]"
3,128,0.05,2,0.026408754289150238,"[128, 128, 128]"
3,128,0.05,4,0.02667696215212345,"[128, 128, 128]"
2,128,0.45,2,0.0270442645996809,"[128, 128]"
2,32,0.05,2,0.027222339063882828,"[32, 32]"
2,128,0.3,2,0.027528226375579834,"[128, 128]"
3,64,0.15,2,0.027721766382455826,"[64, 64, 64]"
1,128,0.45,2,0.028239645063877106,[128]
2,128,0.15,2,0.0282764732837677,"[128, 128]"
3,64,0.15,8,0.028432896360754967,"[64, 64, 64]"
3,128,0.15,8,0.028675319626927376,"[128, 128, 128]"
3,64,0.05,8,0.028825199231505394,"[64, 64, 64]"
2,128,0.05,2,0.028911888599395752,"[128, 128]"
3,128,0.15,4,0.02928181365132332,"[128, 128, 128]"
3,32,0.05,4,0.02935275249183178,"[32, 32, 32]"
3,128,0.3,2,0.029505345970392227,"[128, 128, 128]"
1,128,0.05,2,0.029613425955176353,[128]
2,64,0.15,4,0.02995728701353073,"[64, 64]"
3,64,0.05,2,0.030105402693152428,"[64, 64, 64]"
2,128,0.15,4,0.0301792211830616,"[128, 128]"
3,64,0.15,4,0.030889375135302544,"[64, 64, 64]"
3,32,0.05,2,0.030998047441244125,"[32, 32, 32]"
2,128,0.05,4,0.03102431446313858,"[128, 128]"
1,128,0.3,2,0.031235674396157265,[128]
3,128,0.3,8,0.031278371810913086,"[128, 128, 128]"
3,128,0.3,4,0.031592898070812225,"[128, 128, 128]"
2,128,0.3,8,0.03170950338244438,"[128, 128]"
3,128,0.45,2,0.031903333961963654,"[128, 128, 128]"
2,32,0.45,2,0.0328129306435585,"[32, 32]"
2,64,0.3,2,0.032885096967220306,"[64, 64]"
2,128,0.15,5,0.03292284533381462,"[128, 128]"
3,32,0.15,2,0.03305156156420708,"[32, 32, 32]"
3,32,0.3,2,0.033099960535764694,"[32, 32, 32]"
3,64,0.45,2,0.03356585651636124,"[64, 64, 64]"
3,32,0.05,8,0.033878907561302185,"[32, 32, 32]"
1,128,0.15,2,0.03397206589579582,[128]
2,64,0.05,5,0.034053459763526917,"[64, 64]"
3,64,0.3,8,0.034110166132450104,"[64, 64, 64]"
2,64,0.05,8,0.03471445292234421,"[64, 64]"
2,32,0.15,2,0.03575208783149719,"[32, 32]"
3,128,0.45,8,0.035785239189863205,"[128, 128, 128]"
1,64,0.05,2,0.035877104848623276,[64]
2,128,0.15,8,0.035999782383441925,"[128, 128]"
2,64,0.45,2,0.03610396012663841,"[64, 64]"
3,32,0.15,8,0.03640153631567955,"[32, 32, 32]"
3,128,0.05,8,0.03668619692325592,"[128, 128, 128]"
2,128,0.3,4,0.037167273461818695,"[128, 128]"
2,64,0.3,8,0.037293028086423874,"[64, 64]"
2,128,0.45,8,0.03733033686876297,"[128, 128]"
2,64,0.05,4,0.037614550441503525,"[64, 64]"
2,128,0.05,8,0.03772937133908272,"[128, 128]"
3,128,0.05,6,0.03784092515707016,"[128, 128, 128]"
1,64,0.3,2,0.03795972838997841,[64]
1,32,0.15,2,0.03836321085691452,[32]
2,64,0.15,8,0.038985878229141235,"[64, 64]"
2,64,0.15,6,0.03907817602157593,"[64, 64]"
3,64,0.3,4,0.03912177309393883,"[64, 64, 64]"
3,64,0.05,5,0.03918953239917755,"[64, 64, 64]"
2,128,0.3,6,0.039223700761795044,"[128, 128]"
2,128,0.05,5,0.03939333185553551,"[128, 128]"
2,64,0.45,8,0.039582397788763046,"[64, 64]"
3,64,0.15,6,0.03970704227685928,"[64, 64, 64]"
1,64,0.15,2,0.039740681648254395,[64]
2,64,0.05,6,0.039744649082422256,"[64, 64]"
1,128,0.05,4,0.03978588059544563,[128]
3,32,0.15,4,0.040224526077508926,"[32, 32, 32]"
2,32,0.3,2,0.04029299318790436,"[32, 32]"
2,64,0.3,6,0.04048066958785057,"[64, 64]"
2,128,0.45,4,0.04080226644873619,"[128, 128]"
2,128,0.15,6,0.04084814339876175,"[128, 128]"
2,128,0.05,6,0.041452907025814056,"[128, 128]"
3,128,0.45,4,0.041546888649463654,"[128, 128, 128]"
3,64,0.3,6,0.041575051844120026,"[64, 64, 64]"
3,64,0.05,4,0.04167661443352699,"[64, 64, 64]"
3,32,0.45,2,0.04170050099492073,"[32, 32, 32]"
1,64,0.45,2,0.041733697056770325,[64]
3,64,0.05,6,0.04208442568778992,"[64, 64, 64]"
1,32,0.45,2,0.04230159521102905,[32]
3,128,0.05,5,0.04254112020134926,"[128, 128, 128]"
2,32,0.15,8,0.0430595837533474,"[32, 32]"
2,32,0.05,8,0.043117672204971313,"[32, 32]"
2,64,0.3,4,0.04353180155158043,"[64, 64]"
3,32,0.05,5,0.04354351758956909,"[32, 32, 32]"
3,128,0.45,6,0.04355384036898613,"[128, 128, 128]"
3,32,0.3,8,0.04355894401669502,"[32, 32, 32]"
1,128,0.15,4,0.043809276074171066,[128]
2,32,0.15,6,0.044004570692777634,"[32, 32]"
1,32,0.3,2,0.044017937034368515,[32]
3,128,0.15,6,0.04405321925878525,"[128, 128, 128]"
1,128,0.05,6,0.04408981651067734,[128]
1,32,0.05,2,0.044475361704826355,[32]
1,128,0.05,5,0.04485839232802391,[128]
1,128,0.15,6,0.04486227035522461,[128]
2,32,0.05,6,0.0450301356613636,"[32, 32]"
3,128,0.3,6,0.04545227810740471,"[128, 128, 128]"
3,64,0.45,8,0.0454573854804039,"[64, 64, 64]"
2,32,0.05,4,0.04561194032430649,"[32, 32]"
2,32,0.05,5,0.04567620903253555,"[32, 32]"
3,32,0.05,6,0.0457548126578331,"[32, 32, 32]"
3,32,0.3,6,0.045922841876745224,"[32, 32, 32]"
3,32,0.15,6,0.046085938811302185,"[32, 32, 32]"
2,32,0.3,8,0.04639088362455368,"[32, 32]"
3,128,0.15,5,0.04663962870836258,"[128, 128, 128]"
2,128,0.45,6,0.0472864955663681,"[128, 128]"
2,64,0.15,5,0.0477362722158432,"[64, 64]"
1,64,0.05,4,0.04790010675787926,[64]
2,64,0.45,6,0.0479733869433403,"[64, 64]"
3,64,0.05,7,0.0482492595911026,"[64, 64, 64]"
1,64,0.05,8,0.04867885261774063,[64]
2,64,0.3,5,0.048968635499477386,"[64, 64]"
3,64,0.15,5,0.04902271181344986,"[64, 64, 64]"
1,128,0.3,4,0.049241311848163605,[128]
2,128,0.3,5,0.049320053309202194,"[128, 128]"
1,128,0.05,8,0.049330540001392365,[128]
3,128,0.05,7,0.0494813546538353,"[128, 128, 128]"
1,128,0.45,4,0.05010368674993515,[128]
1,128,0.15,8,0.05033513903617859,[128]
1,64,0.15,4,0.050382498651742935,[64]
2,32,0.15,5,0.050474394112825394,"[32, 32]"
1,128,0.3,6,0.05051930248737335,[128]
2,32,0.3,6,0.05052219703793526,"[32, 32]"
2,128,0.45,5,0.05052310228347778,"[128, 128]"
2,32,0.15,4,0.0510585755109787,"[32, 32]"
2,64,0.45,4,0.05108455941081047,"[64, 64]"
3,64,0.45,6,0.05168108642101288,"[64, 64, 64]"
2,32,0.45,6,0.051845476031303406,"[32, 32]"
3,32,0.15,5,0.052117157727479935,"[32, 32, 32]"
1,64,0.05,6,0.05223112553358078,[64]
3,128,0.3,5,0.052469391375780106,"[128, 128, 128]"
3,64,0.15,7,0.05250569432973862,"[64, 64, 64]"
1,64,0.15,8,0.05255840718746185,[64]
