n_layers,units,dropout,n_segments,val_loss,hidden
3,64,0.15,2,0.023452239111065865,"[64, 64, 64]"
3,128,0.05,2,0.023498646914958954,"[128, 128, 128]"
3,128,0.15,2,0.02402319386601448,"[128, 128, 128]"
2,128,0.15,2,0.024697821587324142,"[128, 128]"
2,128,0.3,2,0.025317039340734482,"[128, 128]"
2,64,0.05,2,0.02577386423945427,"[64, 64]"
2,128,0.05,2,0.02601887658238411,"[128, 128]"
3,128,0.05,8,0.026726009324193,"[128, 128, 128]"
3,64,0.05,4,0.027468247339129448,"[64, 64, 64]"
3,64,0.3,2,0.027899745851755142,"[64, 64, 64]"
3,64,0.05,2,0.028074277564883232,"[64, 64, 64]"
2,32,0.15,2,0.028227921575307846,"[32, 32]"
3,128,0.45,2,0.028718430548906326,"[128, 128, 128]"
3,64,0.15,8,0.029187649488449097,"[64, 64, 64]"
3,128,0.05,4,0.02934287302196026,"[128, 128, 128]"
1,32,0.15,2,0.030387036502361298,[32]
3,128,0.15,4,0.03058977611362934,"[128, 128, 128]"
1,64,0.15,2,0.030665528029203415,[64]
1,128,0.45,2,0.03105439618229866,[128]
1,64,0.3,2,0.031238345429301262,[64]
2,64,0.45,2,0.03147760406136513,"[64, 64]"
3,128,0.3,2,0.03165460005402565,"[128, 128, 128]"
3,128,0.15,8,0.031656697392463684,"[128, 128, 128]"
2,128,0.3,4,0.03167162090539932,"[128, 128]"
2,128,0.05,4,0.03207411617040634,"[128, 128]"
3,128,0.3,8,0.032334569841623306,"[128, 128, 128]"
2,64,0.15,2,0.03250497952103615,"[64, 64]"
3,32,0.15,2,0.03306959569454193,"[32, 32, 32]"
2,32,0.05,2,0.0332070030272007,"[32, 32]"
1,128,0.3,2,0.033406078815460205,[128]
3,32,0.05,2,0.03342095762491226,"[32, 32, 32]"
2,64,0.3,2,0.033657584339380264,"[64, 64]"
3,128,0.3,4,0.033712420612573624,"[128, 128, 128]"
1,128,0.05,2,0.03398066386580467,[128]
3,64,0.15,4,0.034170541912317276,"[64, 64, 64]"
1,32,0.45,2,0.03433617204427719,[32]
3,128,0.05,5,0.0346548855304718,"[128, 128, 128]"
1,64,0.05,2,0.0347728468477726,[64]
3,32,0.15,8,0.034961018711328506,"[32, 32, 32]"
